,det,DF,Donor1_Serum,Donor2_Serum,Donor3_Serum,Donor4_Serum,Donor4_Plasma_EDTA,Donor5_Serum,Donor5_Plasma_Heparin,Donor6_Serum,Donor6_Plasma_Heparin,Donor6_Plasma_EDTA
SARS2_S2,IgA,100,1649,2226,1420,144,150,3240,3257,788.5,828.5,765
SARS2_S2,IgA,200,970.5,1455,879,90.5,95,1964.5,1983.5,451,452,430
SARS2_S2,IgA,400,542,904.5,506,60,59.5,1151.5,1094,255,247.5,251.5
SARS2_S2,IgA,800,302,506,284,44,44,668,608,145,142,152
SARS2_S2,IgA,1600,161,309,164,36,34,359,338,91,89.5,93
SARS2_S2,IgA,3200,98.5,167,95,30,31,195.5,184.5,57.5,56,56
SARS2_S2,IgA,6400,64,99,58.5,24.5,23,107,101.5,42,39.5,41
SARS2_S2,IgA,12800,45,65.5,43,23,26,68,67,35,36,31
SARS2_RBD,IgA,100,1430.5,2239,339,50.5,50,2625,2708,388.5,395.5,391.5
SARS2_RBD,IgA,200,808.5,1234.5,195,39.5,40,1973.5,2009.5,231,222,228
SARS2_RBD,IgA,400,435,631,108,36,32,1367,1363,129,131,125
SARS2_RBD,IgA,800,257,338,67,29,30,813,828,79,80,83
SARS2_RBD,IgA,1600,137,193,45,27,26,452.5,443.5,54,55.5,53.5
SARS2_RBD,IgA,3200,82,104,33,23.5,24.5,265,245,37,39.5,35
SARS2_RBD,IgA,6400,52.5,67,27,23,24,143,136,29,29,31
SARS2_RBD,IgA,12800,35,42,25,23,23,82.5,82,25,24,24
SARS2_S,IgA,100,1822.5,3152,549,777,759,5869,5791.5,611.5,582,575
SARS2_S,IgA,200,910.5,2007.5,335,388,373.5,4212,4125,324.5,307,309
SARS2_S,IgA,400,460,1159.5,198,197,194,2728.5,2707.5,169.5,173,159
SARS2_S,IgA,800,250,630,116,113.5,111,1594,1559.5,98,96,92
SARS2_S,IgA,1600,141.5,348,74,74.5,71,885,850,58,58,59
SARS2_S,IgA,3200,79,192,51,44,47,469,460,43,40,43.5
SARS2_S,IgA,6400,53,108,38.5,35,35,243,228,31,31,32
SARS2_S,IgA,12800,39.5,65.5,28,26,31.5,133,132,31,30,28
NL63_S1,IgA,100,156.5,211,210,291,452.5,832,918,971,1001,940
NL63_S1,IgA,200,144,171,161,230,273,730,734,643.5,636,626
NL63_S1,IgA,400,121,122,119,153,165.5,523.5,524,375,363.5,356.5
NL63_S1,IgA,800,92,87,84.5,103,104.5,327,319,219.5,209.5,209
NL63_S1,IgA,1600,66.5,70,68,81.5,81,197.5,200,139,134,135
NL63_S1,IgA,3200,60,58.5,59,63,62.5,122,114,91.5,93,91
NL63_S1,IgA,6400,56,54,57,55,54.5,89,87,69,72,71
NL63_S1,IgA,12800,55,54,52.5,51.5,52,68,70.5,57,63,61.5
OC43_S1,IgA,100,604,547,523,184,171.5,7985,7930,3252.5,3305,3149
OC43_S1,IgA,200,335,329,321,112.5,110.5,4971,4945,1876,1819,1818.5
OC43_S1,IgA,400,194,189,181,76,72,2943,2833,977,955.5,933
OC43_S1,IgA,800,111.5,113.5,106,53,51,1629.5,1582,536,535,514
OC43_S1,IgA,1600,71,72.5,72.5,43,44,875,846,283,298,279.5
OC43_S1,IgA,3200,47,47.5,51.5,34,32,488,444,161,162,158
OC43_S1,IgA,6400,42,42,39.5,30,30,248.5,258,95,94.5,96
OC43_S1,IgA,12800,35,30,33,32,30,150,138.5,58,63,60
229E_S1,IgA,100,8991,547,581,146,263,2585,2625,455.5,445,474
229E_S1,IgA,200,7843,453,434,120,152,2322,2293.5,273,266.5,272
229E_S1,IgA,400,5413,294,284.5,84.5,87.5,1629.5,1608,149,148,155.5
229E_S1,IgA,800,3360.5,171,172,55,54,957,930.5,93,89,84
229E_S1,IgA,1600,1719,99,94.5,41,39,532,513,54,58,56
229E_S1,IgA,3200,924.5,60,58,31,31,291,284,42,42,38
229E_S1,IgA,6400,484,44.5,42.5,26,25,158.5,157,35.5,31,31
229E_S1,IgA,12800,265.5,33,31,26,23,91.5,94,23,27,26
SARS2_S1,IgA,100,166.5,445,121.5,32,31.5,874,870.5,62,63,66.5
SARS2_S1,IgA,200,91.5,242,74.5,30,28,530,528,44,43,46
SARS2_S1,IgA,400,62,129.5,46,28,26,297,285.5,36,33,32
SARS2_S1,IgA,800,41,76,34,23,24,168,167,28,28,28
SARS2_S1,IgA,1600,31,51,28,23,21,98,99.5,25,28,23
SARS2_S1,IgA,3200,27,32.5,24.5,23,21.5,61,60,23,21,20
SARS2_S1,IgA,6400,21.5,28,22,21.5,20,37.5,40,20,24,22
SARS2_S1,IgA,12800,24,23,24,22,22,30,33,21,22,21
HKU1_S1,IgA,100,394,354,371.5,311.5,312,764,745,306.5,304,296
HKU1_S1,IgA,200,224.5,204.5,204,186,199,424,415,184,181,185.5
HKU1_S1,IgA,400,144,126,123,118,120,239,236,110,113,109
HKU1_S1,IgA,800,88,75,76.5,79,78,140,136,72,68,71
HKU1_S1,IgA,1600,51.5,57,51,57.5,56,85,87,51,51.5,50
HKU1_S1,IgA,3200,43,45,40.5,43,43,59,54,41,40,39
HKU1_S1,IgA,6400,36,31,35,34,36,44,41,33,34,34
HKU1_S1,IgA,12800,32,30,32,32,34,38,34,33,27,29
OC43_N,IgA,100,404,299,236.5,257,326,1140,1015.5,397,326,468
OC43_N,IgA,200,246.5,177,142,138.5,160.5,738,622,254,211,278
OC43_N,IgA,400,152.5,108,92,80,91,435,376,148,123,158
OC43_N,IgA,800,96.5,67,63,55,56,267,227,93,80,87.5
OC43_N,IgA,1600,61.5,48.5,47,43,44,169,141,61,52.5,60
OC43_N,IgA,3200,46,36,34,30,32,101,89,40,40,42
OC43_N,IgA,6400,34,27.5,32,28,26.5,62,60.5,29,34,32
OC43_N,IgA,12800,28,27,25,24,23,48,41,29,27,27
NL63_N,IgA,100,5026.5,1617,1743,221,475,6734,7376.5,950,1019.5,3221
NL63_N,IgA,200,2797,959,998,309,316,9477.5,9280,1393,1453,2266
NL63_N,IgA,400,1564,510.5,500,214,200,8404,7680,1490,1436,1522
NL63_N,IgA,800,871.5,269,276.5,126,122,5595.5,5003,939,865,937
NL63_N,IgA,1600,432,150,165,82,81,3486,3010,537,506,523
NL63_N,IgA,3200,238,89,90,50.5,51,2034,1736,295.5,291.5,290
NL63_N,IgA,6400,137,57,57,40,36,1002,914.5,162.5,163,167
NL63_N,IgA,12800,85,40.5,41,32,31.5,507,480,95,96.5,97.5
229E_N,IgA,100,1099.5,234.5,195,270,279,5085,2133,787,465,801
229E_N,IgA,200,601.5,148,135,168.5,175,3297,1420,448.5,280,450
229E_N,IgA,400,317,88,84,109,119,1857,885,244,157,248
229E_N,IgA,800,184,66.5,61,75.5,73,1014.5,544,142,106,138.5
229E_N,IgA,1600,113,50,51,53,58.5,508.5,326,87,75,79
229E_N,IgA,3200,71.5,44,40,45.5,45,262,195,59,52,59
229E_N,IgA,6400,52,36.5,36.5,42,38,136,129,44,44,43
229E_N,IgA,12800,44,32,35,37,30.5,89,78,39,36.5,36.5
HKU1_N,IgA,100,176,209,182,130,126,262.5,243,78,81,85
HKU1_N,IgA,200,115,129,116,82,89,165,156.5,61,62,63
HKU1_N,IgA,400,75.5,86,80,67,65,107,101,49,51,49
HKU1_N,IgA,800,62,64,58.5,50,50,78,69,41,49,42.5
HKU1_N,IgA,1600,47,45,46,41,43,57,51,37,37,35
HKU1_N,IgA,3200,36,38,37,35,36,43,40.5,35.5,32,31
HKU1_N,IgA,6400,34,33,33,30,35,38,35,32,28,28.5
HKU1_N,IgA,12800,34,33,34,32,33,30,32,28,31,31
OC43_N_NTD,IgA,100,317,277,280,224,226,773,739,129,118,144
OC43_N_NTD,IgA,200,185,181.5,169,142.5,144,486.5,467,86,84,96
OC43_N_NTD,IgA,400,116,108,109,95,91,285,282,62,61,64.5
OC43_N_NTD,IgA,800,72,72,70,63,66,182,161.5,45,47,48
OC43_N_NTD,IgA,1600,55,52,49,48,47,110,102,41,36,37
OC43_N_NTD,IgA,3200,40,41,38.5,39,37,69,62,32,31,31
OC43_N_NTD,IgA,6400,29.5,32,31.5,32,32,45.5,47,29,29,28
