SampleID_Assay,Assay_Plate,SARS2_S,SARS2_RBD,SARS2_S1,SARS2_S2,SARS2_N,SARS2_N_NTD,NL63_S1,NL63_N,NL63_N_NTD,229E_S1,229E_N,229E_N_NTD,OC43_S1,OC43_N,OC43_N_NTD,HKU1_S1,HKU1_N,HKU1_N_NTD
QC1,1,1314,773,133.5,1040,215,79,133,545.5,645,315.5,91,35,197.5,125,127,134,104,105.5
QC1,1,1272,748,137,1008,199,75,125,537.5,632,313,96,33.5,204.5,123,131,132,101.5,101
QC2,1,68,50.5,29,711.5,133.5,48,211.5,1392.5,354,593,2781,55,286.5,1117,498,79,110,196
QC2,1,72,50,31,670.5,129,48.5,213.5,1393,341.5,580.5,2855,54,302,1031,519,81,105.5,192
QC3,1,2370,797,107,4648,1093,51,321.5,791,151,1843,83,35,2034,433,1008,574,106.5,101.5
QC3,1,2361,818,104,4525.5,1088,50,324,790,132.5,1859,89,37,2034,428,982.5,559,100.5,96.5
Blank,1,26,20,23,26,30.5,28,53.5,25,38,21.5,33,17,30,23,28.5,30,35,23
Blank,1,24,23,22,22,31,28,50,24,37,25.5,31.5,20,27.5,22,25,27,32,26
QC1,2,1157.5,696.5,133,925.5,191,76,123,490,590,302.5,87,34,195,114.5,110.5,121,90,100
QC1,2,1184,683,139,922,190,75,126.5,519,593,307,90.5,35,195,115,119,131,94.5,102
QC2,2,66,52,27.5,637,128.5,51,198,1299,302,534,2661.5,48,266.5,882.5,472,77,111,183
QC2,2,68,53,27,648,132,50,191.5,1309,294,552,2642,48,264,869,482,75,105,178
QC3,2,2232,755.5,101,4433,1019,49,293,752.5,135,1744,89,34,1873,375,942,515,99,95
QC3,2,2170.5,733,99.5,4323.5,1025.5,50,303,737.5,127,1783,78.5,31.5,1823,398,929.5,526.5,103,95.5
Blank,2,24,20,23,22,33,27,48,24.5,35.5,22,30,18,28,21,25,27,31,22.5
Blank,2,23,21,20,24,29,28,51,22,33,23,30,17,28.5,22,25,28,28.5,26
QC1,3,1249,719,147,1000,195,76,131,532,617,318,95,38.5,192,118,116,134,94.5,96
QC1,3,1221,706,139,941,189,73,129,542,596,313,94,37,199,109.5,116,126,92,94
QC2,3,68,56,28,653,135,51,196,1366,283,559,2734,52,269.5,771,485,82,111.5,185
QC2,3,67,56,30,655,136,54,204.5,1325,288,568,2648,51.5,266,780,456,82,106.5,178.5
QC3,3,2267,745,105,4348,1043,51,306,764,131,1777,89,35,1910,381,948,543,98,89
QC3,3,2293,703,101,4400,1042.5,53,313,758.5,132,1809,90,35,1957.5,378,944.5,549,97,96
Blank,3,24,23,18,23,31,28,51,25,35,26,34,18,27,18,25.5,27,31,23
Blank,3,26,22,26.5,22,33.5,26,49,22,36,23,26,17,28,23,25,31,30.5,25
QC1,4,1146,659,129.5,930,188,72,121,502,587,283,90.5,34,179.5,106.5,108,117,91.5,91
QC1,4,1193,678.5,133,961.5,179,71.5,123,527,605.5,301,87,31,187,113,116,127,88,100
QC2,4,69,50,27,655,123,50,190.5,1267,311,539,2628,50,264,990,457.5,79,101,180
QC2,4,71.5,53,29,658.5,120.5,48.5,180,1322,296,528,2669,55,261,1046,458.5,72,105,176.5
QC3,4,2099,681,92,4076,974,47,269,702,124,1620.5,75,34,1739,374,878,481.5,93,90
QC3,4,2272,727,100.5,4377,1015.5,49.5,290,741,132,1716,78,31,1853,404.5,926.5,510.5,99,93
Blank,4,25,23,20,23,29.5,27,49,23,35,21,34,16,29,21,26,30,28,23
Blank,4,25,21,21,22,31.5,26,51.5,23.5,35,22,30,18,27,21,26,26,30,22
QC1,5,1208.5,706,135,951,185,74,132,527,615,312,90.5,36,197,109,119,124,92.5,99
QC1,5,1227,695,126,973,192.5,73,138,515,603,314,89,35,191.5,112,110,127,83,102
QC2,5,65,50,27,666,120,48,201,1304,288,552,2639.5,50,264,818.5,468.5,76,104,176
QC2,5,65.5,49,28,656.5,123,49,197.5,1291,282.5,557.5,2685,51,273,803,464,74,102,172
QC3,5,2183,734,100,4447,987,48,299.5,737,128,1749.5,77.5,35,1909.5,379,929,535,94.5,92
QC3,5,2161.5,718,99,4466,990.5,48,293,758,127,1789,77.5,36,1917.5,381,917,516.5,94,96
Blank,5,25,22,20.5,24,30,25,48,25.5,34,22,30,17,29,21,23,30,28,27
Blank,5,28,23,21,25,31,26,50,23,33,23,30.5,18,28,21,26,28.5,31,24.5
QC1,6,1153,679.5,126,937,185,73,115.5,512,598,283.5,85,38.5,178,103,111,124,83,88
QC1,6,1184.5,675,128,923,181.5,76,117,521,601,282,81,31,186.5,101,122,125.5,87,96
QC2,6,68,53,29,643,123,50,194,1303,296,547,2675,49,265.5,740,461,80,104,177.5
QC2,6,66,51,28,648.5,130,46,188.5,1254,300,531.5,2614.5,49.5,248,740,451,75,102.5,174.5
QC3,6,2229.5,731,98,4458,1030,48,289,757,132,1753,77.5,33,1839,354,933,513,96,90
QC3,6,2237.5,749.5,109.5,4251.5,1030.5,49,293,752.5,130,1764,80,32.5,1863,354,953,507,95.5,91
Blank,6,27,22,23,23,32,26.5,47,24,32,20.5,31,18,29,21,26,28.5,30,22
Blank,6,27.5,22,22,26,33,27.5,49,24,33,23,30,19,32,18,24.5,30,31,23.5
QC1,7,1245.5,627.5,119.5,940,165,64.5,116.5,492,555,308.5,100,34,190.5,107.5,109,133,78,96
QC1,7,1198.5,653.5,130,914,166,70,126.5,505,571,298,97.5,35.5,193,114,112,126,79.5,86
QC2,7,68,50,28,648,118,47,186.5,1314.5,258,555,2714,41,280.5,896,480,82,86.5,164
QC2,7,68,49,26,694,116,49,201,1299,250,556,2731.5,47,261,884.5,461,83,103.5,178
QC3,7,2225,690,91,4269,977,47,304,768,124,1841,79,36,1980,423,947.5,542,89,91
QC3,7,2224,670,94,4288,950,48,298,744,127,1816,80,32,1922.5,408,920,526.5,90,90
Blank,7,28,22,20,24,30,26,53,24,37.5,23,30,17,30,21,26,29.5,29,24
Blank,7,26,22,24,21,33,26,51,24,35,20,30,18,29,23.5,25,29,29,22
QC1,8,1240,680,137,1003,197,72,133,537,605,297,93,38.5,192,103,116,133,92.5,96
QC1,8,1130,596.5,121.5,964,175,65.5,120,486,543,278,91,35.5,180,102,104,123.5,92,89
QC2,8,73,52,26,688,128.5,50,196,1311,285,565,2686,49,276,781,460.5,80,101.5,182
QC2,8,77,55,30,695,127,51,206,1330,287,566,2723,50.5,281,769,458,73.5,103.5,190
QC3,8,2415,731,103,4475.5,1038,51,304,769.5,135,1750,84,35,1908,378,908,520,101,96.5
QC3,8,2340.5,743,107,4596,1050,48,302,746.5,129.5,1769.5,84,34.5,1915,380.5,925.5,524,90,96.5
Blank,8,27,23,22,25,30.5,30.5,51,24,33.5,23,32,16,30,19.5,23,28,31,23.5
Blank,8,23,21,19.5,24,32,26.5,51.5,25,34,25,30.5,18,31,20,24,30,34,23
QC1,9,1247,697,139,1061,181.5,73.5,130,534,600.5,314,85,32,209,108,114,140.5,87,102
QC1,9,1261,674,144,1000,188,71,129,539,583,321,91,36.5,215.5,106,116,131,85.5,97
QC2,9,69.5,51.5,27,713,127.5,46,206,1326,263,566.5,2755,49,277,694,465.5,81,108,169
QC2,9,70.5,50,28,682,125,50,207,1332.5,257,582,2699,50,292.5,651.5,480,80.5,101,179
QC3,9,2280,747,104,4800,990,55,318.5,783,121.5,1868.5,82,33,2019,381,958,565,97,95
QC3,9,2316,741.5,108.5,4871,998,48.5,327.5,763.5,129,1890.5,77,35,1972,394,936.5,554,94,95.5
Blank,9,27,22,22,23,31.5,30,51,23,34,22,31,18,28,22,26,31,28,23
Blank,9,24,22,21.5,24,28,27,51,24,35,23,29,17,28,19,26,27.5,30,23
QC1,10,1288,717,143,1017,186,70,130.5,531,626,317.5,90.5,35,200,107,115,131,92.5,102
QC1,10,1216,656,136,956,179,67,128.5,508,588,303,97,40,199.5,102,115.5,123,90,97
QC2,10,65.5,51,29,680,131,48,199,1313,265,572,2704,49.5,270,673,458.5,80,98,177
QC2,10,65,49,28,628.5,120,48.5,199,1278.5,263,557,2623.5,44,256,621.5,454,77,102,174
QC3,10,2329,728.5,108,4497.5,1069,49.5,303,772,125,1853,85.5,35,1968,366.5,949,524,98.5,92
QC3,10,2275,714,102,4462,1005,45,307.5,749,133,1755.5,84,32,1902,358.5,895.5,530,99,90
Blank,10,25,23,23,25.5,35.5,29,51,26,33,22,34,19,27,22.5,25,29.5,33,24
Blank,10,24,19.5,22.5,24,33,29,52,25.5,34,23,35,18.5,31,21,26,29,36,24
QC1,11,1209,664.5,142,976,184.5,70,132,529,582.5,302,87,36,191,102,109,130,89,95
QC1,11,1253,664,135,953,189,72.5,128.5,528,604,307,97,38,192,105,113,127,89,95
QC2,11,72,52,30,668,130.5,48,202,1321,276.5,563,2716,47,274,641,451.5,81.5,106,182
QC2,11,69.5,50,27,653,127,47,196,1259,265,540,2625.5,49,257,590,451.5,76,95.5,172
QC3,11,2367,711,105,4497,1000,46,290,775,132,1796,84,35,1910.5,362,944,516,94.5,90
QC3,11,2359,727,108.5,4448,1005,51,292,768,133.5,1799,85.5,34,1927,346,906,515.5,99,81
Blank,11,28,20,23,22,35,30,53,25,32,22,31,20,31,19,23,29,31.5,21.5
Blank,11,25,22,25,22.5,33,26.5,54,26,38.5,23,32,19,29,23,24.5,27,30,22
QC1,12,1233,676,141,987,191,65.5,132,567.5,641,297,96.5,40,193,121,112.5,134,94,104
QC1,12,1277,690.5,141,1014,204.5,72,130,553.5,627,324.5,101,38,194.5,119.5,117,134,94.5,107
QC2,12,74,48,26,725,127,49,201,1344,298,561,2798,47,276.5,1050,448,74.5,104,174
QC2,12,73,53,28,645,120,46.5,198,1332.5,292,556,2696,51.5,274,925,466,81,94,176
QC3,12,2374,747,107,4506,1056,49,312,817,136.5,1850,77,34,2050.5,421.5,962.5,550,95,93.5
QC3,12,2365,720,100,4462,1061,45,295.5,788.5,135,1821,77,34,1908,412.5,940,515,98,92.5
Blank,12,24.5,23,25,24,32,26,51,24,37,24,34,20,31.5,23,25,32,32,23
Blank,12,27,23,20,25,35,26,53.5,26.5,34,21,34,18,30,23,26,29,30,23
QC1,13,1307,687,133,998.5,191,68.5,123,545,630,313,87,31,197,102,116,137,91,99
QC1,13,1268,674.5,131,984,192,68,124,539.5,591,305,81,31.5,193,100,115,139,87.5,96
QC2,13,73,52,28,715,127,46.5,206,1331,279,573.5,2755.5,49,273,775,455,71,103,178
