SampleID_Assay,Assay_Plate,SARS2_S,SARS2_RBD,SARS2_S1,SARS2_S2,SARS2_N,SARS2_N_NTD,NL63_S1,NL63_N,NL63_N_NTD,229E_S1,229E_N,229E_N_NTD,OC43_S1,OC43_N,OC43_N_NTD,HKU1_S1,HKU1_N,HKU1_N_NTD
QC1,1,29519,1769.5,431,18509,4707,2363,6288.5,11748,8009,6626,2832,1775,13915,5136,9902,827,601,2067
QC1,1,28665,1724,426.5,18603,4677.5,2284,6344,12082,8130.5,6502.5,2827.5,1818,13988.5,5166.5,9767,832,619.5,2009
QC2,1,158,60,50,1303,6177.5,102,525.5,17028,1933,7672,16387,1123.5,2039.5,8202,11633,1512,1984,5149
QC2,1,160,61,49,1354,6258,105,522,17189,1876,7630,16609,1096,2034,8063.5,11907.5,1459,1977,5216
QC3,1,24722,6722,1824,38259,19668,6892,2749,29437,13448,8292,7090,3912,4816,3136,2030,2011,255.5,1037
QC3,1,24710,6795,1809.5,38317.5,19165,6911.5,2748,29718,13201,8121,7047,3964,4852,3159,2019,1987,257,1024
Blank,1,28,21,18,22,32,30,26,23.5,22,53,29,21,24,24,27,30,29,21
Blank,1,26,23,21,24,31,27,23,23,23,50,30,20.5,27,24,29,32,28,21
QC1,2,27659,1646,445,17901,4471,2211.5,5925,11224,7670.5,6164,2661,1596.5,13240,4744,9039.5,816,612,1922
QC1,2,28267,1720,444,18158,4594,2241,6114.5,11538,7707,6413,2771,1628,13383,4873,9386,793,605,1987.5
QC2,2,156,60,47,1299,6350,101,507,16751,1753.5,7572,16382,987.5,1985,8011,11571,1427,1933,4970.5
QC2,2,155,64.5,52,1246,6267,109,508,16462,1774,7445,16658,999,1975,7815,11253,1374,1955,5085
QC3,2,23494,6447,1782,36129.5,18580,6538.5,2572,28922.5,12405,7819,6778,3616,4636.5,2892,1928,1850,247,953.5
QC3,2,24418,6516,1791,36703,18767,6695,2550,29016,12998,8095.5,6727,3688,4689.5,2971.5,1968.5,1890,257,964
Blank,2,23.5,23,19,23.5,32,31,24,23,23.5,48,30,19,29,23.5,31,31,29,19.5
Blank,2,25,20,21,22,31,28,23,25,22,41,29,20,27,25,29,29,26,20.5
QC1,3,29402,1694,467.5,18556,4702,2292,6398,12032,7750.5,6683,2872,1678,14000,4856,9778,826,603,1978
QC1,3,29578,1698,446,18837,4747,2216.5,6357,12136,7796,6662,2847,1683,14214,5131,9609,853,596,1995.5
QC2,3,156,65,49,1334,6735,114.5,528,17480,1755,7871,17012,1044,2085,8018,11639,1467,1911,5109.5
QC2,3,164,66,51,1356,6657,103,537.5,17310.5,1766,7865,17006,1004,2052,8234,11447,1454,1903,5139.5
QC3,3,24921,6619,1806,37510.5,18767,6532,2645.5,29554,12614.5,8248,7131,3723.5,4818,2926,1961.5,1950,259,976.5
QC3,3,25038,6483,1875.5,36714.5,19012.5,6604,2680,29999,12831.5,8531.5,7017,3702,4772,2922,1971,1963.5,266,958
Blank,3,26,23,20,23,33,27,22.5,23,25,51,32,22,28,23,27.5,32,27,23
Blank,3,26,22,20,23,35,30,23,26,24,56,28,20.5,30,25,32,29,30,23
QC1,4,28431,1629,416,19223,4412,2100.5,6036.5,11440,7306,6172,2875,1558.5,13423,5000,9063,785,601,1856
QC1,4,29437.5,1712,450,19352,4743,2217,6166.5,11807.5,7662,6470,2855.5,1666,14027.5,5166,9680,842,605,1957
QC2,4,161,63,45,1312.5,6546,102,498.5,17075,1731.5,7495,16451.5,969,1999,8294,11563,1461,1823,4961
QC2,4,166,62,47,1290,6546.5,105,499,16648.5,1766.5,7503.5,16521,1000,1991,8344,11458,1431,1882,5011.5
QC3,4,24008,6101,1715,38516,18182,6169,2382,28747,12173,7608,6452.5,3492.5,4398,2945,1812.5,1807.5,237.5,924
QC3,4,25319,6641.5,1780.5,39101,19001,6640,2529.5,29823,13096.5,8165,6905,3619,4680,3152,1965,2005.5,249.5,1020
Blank,4,26,21,19,25,34,31,24,25,23,50,29,21,27,24,29,30.5,26,21
Blank,4,25,22,18,24,31,31,21,27,23,53,28.5,20,24,25,28,31,29,18
QC1,5,29367,1741.5,434,19165,4698.5,2285,6431.5,12245,7810,6543,2798.5,1684,14288,5032,9730,838,613,1989
QC1,5,30373,1686,447,18743.5,4801,2251,6362,12465.5,7578,6875,2852,1636,14314,5074.5,9640,851,601,1989.5
QC2,5,152,64.5,48,1328,5929,98,517,17410,1721,7783,16829,960.5,2055,8118.5,11746,1460,1921,5036
QC2,5,149.5,65,44,1327,5907,97,515,17311.5,1748,7779.5,16999,1034,2112,8293.5,11517,1517,1893,4975
QC3,5,25119.5,6610,1789,38071.5,18954,6640,2625,29741,12608,8390,6878,3613,4738,2986,1931,1944.5,239,963
QC3,5,24687,6457,1833,38949.5,19504,6658,2676,29858.5,12776,8494,6909.5,3628.5,4808,2998,1977,2000,256.5,968
Blank,5,26,22,19,23,34.5,25,24,25,22,50,26.5,21,27,23,29,27,28.5,19
Blank,5,25,22,21,23,32,26.5,24,27,21,56.5,28.5,21,26.5,22.5,28,33,29,20
QC1,6,28267,1652,424,18439,4491,2097,5951.5,11567,7399,6226,2776,1543.5,13343,4667,9267.5,804,561,1788.5
QC1,6,29437,1703,435,19188,4642.5,2182,6171,11631.5,7658,6483.5,2820,1666.5,13829.5,4680,9363,810,583,1913.5
QC2,6,165,61,46,1261,6493,99,483,16984.5,1708.5,7575.5,16348,998.5,2014.5,7643,11269.5,1428,1820.5,4983
QC2,6,155,59,47,1336,6244,95,502,16890.5,1713,7502,16574,920,1998,7635,11570,1431,1808,5039
QC3,6,24968,6550,1768,38587,19071,6667,2576.5,29929,12932,8387,7001.5,3776,4705,2735,1943,1898,248,988.5
QC3,6,24874,6424.5,1790.5,37744,19071,6636,2598,30104,12814,8110,6991,3601.5,4627,2822,1958,1912,258,1007
Blank,6,27,24.5,19,25,34,31,25,26.5,25,51.5,29,21,28,22,29,31,32,21
Blank,6,26,21.5,21,22,33,29,24,23,24,50,29,20,27,25,29,32,27,22
QC1,7,30588,1664,429.5,19776,4638,2044.5,6379,12037.5,7485,6554,2785,1645.5,14610,5381.5,9411.5,808,594,1856
QC1,7,31523,1756,454,20153,4819,2106.5,6603,12212,7634,6776,2869,1739,14478.5,5621,9693,853,609,1933.5
QC2,7,156,66.5,44,1416,6409,97.5,535,17757,1679,8150.5,17963,964,2127,8987,11838.5,1519,1819.5,4875
QC2,7,151,64.5,46,1306.5,6438.5,99,521.5,18111,1619.5,7988,17003,949,2123,8891.5,11834,1526,1924,5279.5
QC3,7,27212,6562,1847,40511,20186.5,6661,2723,31603,12959,8693,7110.5,3708,5123,3352,2002,2074,264,1030
QC3,7,26117.5,6430.5,1883,40328.5,19366,6421.5,2675,31364,12916,8555,6994,3509.5,4855,3267,1943.5,1984,254,968
Blank,7,27,21,18,20,34,29,25,23,22,65,30,19,26,24.5,31,31.5,28,22
Blank,7,26,21,18,23,32,29,21,25,22,53.5,32,19,26,26,29,29,29,20
QC1,8,31660,1704.5,442,20415,4672,2090.5,6411,12090.5,7730,6674,2805,1640,14365,5010.5,9662.5,833,593.5,1923
QC1,8,30314,1490,393,19491.5,4269,1855,6087,11046.5,6975,6144,2533,1438,13277,4805,8940,779,536.5,1724
QC2,8,161.5,65,48,1365,6709.5,99,525,17559,1677.5,7798.5,17227,935.5,2039.5,7970,11670,1505,1864,5126.5
QC2,8,158,62,42,1353,6718,100,516,17405,1675,7738,17327,935.5,2079,8090,11869,1511,1868.5,4973.5
QC3,8,26277,6500,1831,40579,19468.5,6441,2706,31033,12658.5,8462,6895,3541,4928.5,2902.5,1934,1995,249.5,985
QC3,8,26574,6666,1858,41514,19662,6387,2753,31113,12714.5,8381,6970,3548,4926,2942.5,1954,1989,246,1019
Blank,8,26,22,23,20,32,28,27,25,22,51,34,20,29,21,30,29,28,23
Blank,8,23,23,19.5,21.5,32,26,22,23,23,47.5,29.5,17,26.5,21,29,32,30,21
QC1,9,30383,1724,461,19856,4703,2106,6639.5,12044,7472,6777,2821,1647,14273,4941.5,9501,873,583,1968.5
QC1,9,30771,1680,444,19411,4708,2108,6738.5,12284,7344,6852.5,2880,1614,14430,4948,9510,876.5,609,1916
QC2,9,153,70,51,1359,5483,107,536,17238.5,1563.5,7898,16971.5,957,2079,8051,11394.5,1508,1778,4827
